predicted_metal,predicted_concentration_mg_L,regulatory_threshold_mg_L,predicted_exceedance_ratio,predicted_status,predicted_safety,scenario_pH
Pb,1.8200453858644559,0.01,182.0045385864456,Heavy contamination,Unsafe,7.658588682733819
Pb,1.8148224425292085,0.01,181.48224425292085,Heavy contamination,Unsafe,7.683425945622287
Pb,1.8134732302708128,0.01,181.34732302708127,Heavy contamination,Unsafe,7.708263208510755
Pb,1.8080194844759472,0.01,180.80194844759473,Heavy contamination,Unsafe,7.733100471399223
Pb,1.807546732842582,0.01,180.7546732842582,Heavy contamination,Unsafe,7.757937734287691
Pb,1.8099389171121152,0.01,180.99389171121152,Heavy contamination,Unsafe,7.782774997176159
Pb,1.8102655320752656,0.01,181.02655320752655,Heavy contamination,Unsafe,7.807612260064627
Pb,1.8196629712418315,0.01,181.96629712418314,Heavy contamination,Unsafe,7.8324495229530955
Pb,1.8325241802246972,0.01,183.25241802246973,Heavy contamination,Unsafe,7.857286785841564
Pb,1.8373884916251524,0.01,183.73884916251524,Heavy contamination,Unsafe,7.882124048730032
Pb,1.832490311579957,0.01,183.2490311579957,Heavy contamination,Unsafe,7.9069613116185
Pb,1.8297970172386702,0.01,182.979701723867,Heavy contamination,Unsafe,7.931798574506968
Pb,1.829764219185802,0.01,182.97642191858017,Heavy contamination,Unsafe,7.956635837395436
Pb,1.824357838850438,0.01,182.4357838850438,Heavy contamination,Unsafe,7.981473100283904
