standard,metal,threshold_mg_L,basis,type
WHO_2022,Cd,0.003,WHO guideline value for cadmium in drinking water,guideline
WHO_2022,Pb,0.01,WHO provisional guideline value for lead in drinking water,provisional guideline
WHO_2022,Hg,0.006,WHO guideline value for inorganic mercury in drinking water,guideline
WHO_2022,Cu,2.0,WHO health-based/aesthetic guideline value for copper in drinking water,guideline
EPA_NPDWR,Cd,0.005,EPA MCL for cadmium,MCL
EPA_NPDWR,Pb,0.01,EPA lead action/trigger-level framing; older action level often reported as 0.015 mg/L,action/trigger level
EPA_NPDWR,Hg,0.002,EPA MCL for inorganic mercury,MCL
EPA_NPDWR,Cu,1.3,EPA copper action level,action level
