model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
RandomForest,0.9773936324996793,0.0028246194874237763,0.06096154526102471,0.0038386571551335073,0.11644166925638223,0.007872358391286301
CatBoost,0.9770614430199195,0.0035760073003269386,0.0637266681421069,0.0033790931072790503,0.11715053198136009,0.009132433687552921
XGBoost,0.9758833445139686,0.0037382111653467623,0.0630511605659186,0.003387084252804698,0.12007156272805215,0.008948950462027087
GradientBoosting,0.9758198493510432,0.0035054328935520997,0.06389380994968033,0.0041598668354251795,0.12036708875594111,0.009276135350386272
ExtraTrees,0.9756664773483463,0.0028864812643243113,0.06268705265718724,0.003827744222011658,0.12083073750777089,0.007741672101517797
LightGBM,0.9751479760523274,0.003303825890601152,0.06502754825123443,0.003598354870907394,0.12204026272245946,0.00832586416774769
HistGradientBoosting,0.9746919269674632,0.003432253993649916,0.06545349326497615,0.0037959781247093884,0.12319316531126755,0.008739195062095797
SVR_RBF,0.9515956976365456,0.00551246062667329,0.10026729045543506,0.004466708400764839,0.17045924157723163,0.011024084210177596
