model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
ExtraTrees,0.6296666666666667,0.015079419381690013,0.6261974655132526,0.01416832899559649
CatBoost,0.6291666666666668,0.014851112939963634,0.6232640142928683,0.014278145625309066
RandomForest,0.6236666666666667,0.020793962799064755,0.619077219713873,0.02021298941516886
GradientBoosting,0.6228333333333332,0.019232495649002212,0.6175394845023651,0.018989677051071997
LogisticRegression,0.6076666666666666,0.028946310453819325,0.6052018642255713,0.02691449572202432
XGBoost,0.6065,0.016248076809271927,0.6034152976788439,0.015878479792316418
LightGBM,0.5976666666666668,0.020705608472639067,0.5959436060292472,0.02023261370404449
HistGradientBoosting,0.5916666666666667,0.019571805117452924,0.5898997221438725,0.01906802726119845
SVC_RBF,0.5843333333333334,0.02407396011369039,0.580757469648542,0.022940560925363597
